"from","to","value"
"Ciutat Vella","Eixample",57.0625
"Ciutat Vella","Gracia",1.52083333333333
"Ciutat Vella","Horta - Guinardo",0.979166666666667
"Ciutat Vella","Les Corts",3.08333333333333
"Ciutat Vella","Nou Barris",0.416666666666667
"Ciutat Vella","Sant Andreu",3.5625
"Ciutat Vella","Sant Marti",14.4791666666667
"Ciutat Vella","Sants Montjuic",35.7916666666667
"Ciutat Vella","Sarria - Sant Gervasi",2.35416666666667
"Eixample","Ciutat Vella",71.7083333333333
"Eixample","Gracia",13.9166666666667
"Eixample","Horta - Guinardo",4.41666666666667
"Eixample","Les Corts",7.9375
"Eixample","Nou Barris",1.60416666666667
"Eixample","Sant Andreu",8.04166666666667
"Eixample","Sant Marti",16.1666666666667
"Eixample","Sants Montjuic",44.7916666666667
"Eixample","Sarria - Sant Gervasi",18.9166666666667
"Gracia","Ciutat Vella",2.39583333333333
"Gracia","Eixample",16.5625
"Gracia","Horta - Guinardo",4.66666666666667
"Gracia","Les Corts",1.0625
"Gracia","Nou Barris",0.458333333333333
"Gracia","Sant Andreu",0.458333333333333
"Gracia","Sant Marti",1
"Gracia","Sants Montjuic",2.5625
"Gracia","Sarria - Sant Gervasi",9.41666666666667
"Horta - Guinardo","Ciutat Vella",0.833333333333333
"Horta - Guinardo","Eixample",4.8125
"Horta - Guinardo","Gracia",3.72916666666667
"Horta - Guinardo","Les Corts",1.08333333333333
"Horta - Guinardo","Nou Barris",1.95833333333333
"Horta - Guinardo","Sant Andreu",1.3125
"Horta - Guinardo","Sant Marti",1.95833333333333
"Horta - Guinardo","Sants Montjuic",1.60416666666667
"Horta - Guinardo","Sarria - Sant Gervasi",4.70833333333333
"Les Corts","Ciutat Vella",2.0625
"Les Corts","Eixample",6.08333333333333
"Les Corts","Gracia",0.604166666666667
"Les Corts","Horta - Guinardo",0.6875
"Les Corts","Nou Barris",0.229166666666667
"Les Corts","Sant Andreu",0.3125
"Les Corts","Sant Marti",0.354166666666667
"Les Corts","Sants Montjuic",11.1875
"Les Corts","Sarria - Sant Gervasi",12.8541666666667
"Nou Barris","Ciutat Vella",0.5625
"Nou Barris","Eixample",1.91666666666667
"Nou Barris","Gracia",0.854166666666667
"Nou Barris","Horta - Guinardo",2.14583333333333
"Nou Barris","Les Corts",0.104166666666667
"Nou Barris","Sant Andreu",1.45833333333333
"Nou Barris","Sant Marti",0.145833333333333
"Nou Barris","Sants Montjuic",0.333333333333333
"Nou Barris","Sarria - Sant Gervasi",0.770833333333333
"Sant Andreu","Ciutat Vella",2.25
"Sant Andreu","Eixample",7.0625
"Sant Andreu","Gracia",0.854166666666667
"Sant Andreu","Horta - Guinardo",1.875
"Sant Andreu","Les Corts",1
"Sant Andreu","Nou Barris",1.10416666666667
"Sant Andreu","Sant Marti",4.4375
"Sant Andreu","Sants Montjuic",4
"Sant Andreu","Sarria - Sant Gervasi",0.958333333333333
"Sant Marti","Ciutat Vella",8.375
"Sant Marti","Eixample",11.2916666666667
"Sant Marti","Gracia",1.3125
"Sant Marti","Horta - Guinardo",2.4375
"Sant Marti","Les Corts",2.04166666666667
"Sant Marti","Nou Barris",0.4375
"Sant Marti","Sant Andreu",5.97916666666667
"Sant Marti","Sants Montjuic",7.95833333333333
"Sant Marti","Sarria - Sant Gervasi",1.10416666666667
"Sants Montjuic","Ciutat Vella",26.8333333333333
"Sants Montjuic","Eixample",42.5625
"Sants Montjuic","Gracia",1.41666666666667
"Sants Montjuic","Horta - Guinardo",0.708333333333333
"Sants Montjuic","Les Corts",9.77083333333333
"Sants Montjuic","Nou Barris",0.291666666666667
"Sants Montjuic","Sant Andreu",2.79166666666667
"Sants Montjuic","Sant Marti",4.64583333333333
"Sants Montjuic","Sarria - Sant Gervasi",4.0625
"Sarria - Sant Gervasi","Ciutat Vella",3.04166666666667
"Sarria - Sant Gervasi","Eixample",16.8125
"Sarria - Sant Gervasi","Gracia",11.7083333333333
"Sarria - Sant Gervasi","Horta - Guinardo",3.33333333333333
"Sarria - Sant Gervasi","Les Corts",12.375
"Sarria - Sant Gervasi","Nou Barris",0.729166666666667
"Sarria - Sant Gervasi","Sant Andreu",0.604166666666667
"Sarria - Sant Gervasi","Sant Marti",0.458333333333333
"Sarria - Sant Gervasi","Sants Montjuic",7.125
